timestamp,cap_flags,roll_min,roll_max,pitch_min,pitch_max,yaw_min,yaw_max,gimbal_device_id
2873954529,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874004633,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874054467,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874104710,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874154500,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874204446,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874254877,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874304447,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874354444,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874404445,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874454712,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874506110,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874554451,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874604724,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874654448,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874704803,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874754441,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874805254,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874854501,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874904482,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2874954442,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875004583,132530,-1.0000001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875054441,132530,-0.9953464,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875104440,132530,-0.9896771,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875154813,132530,-0.98787534,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875204441,132530,-0.98799694,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875254673,132530,-0.9886641,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875304440,132530,-0.9874239,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875354447,132530,-0.9859561,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875404695,132530,-0.98475254,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875455231,132530,-0.98301864,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875505300,132530,-0.98124504,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875554927,132530,-0.98060733,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875604526,132530,-0.9792727,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875654441,132530,-0.9783001,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875704542,132530,-0.97589356,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875754774,132530,-0.9725212,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875804443,132530,-0.97098285,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875854948,132530,-0.9721558,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875905487,132530,-0.9728152,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2875954678,132530,-0.97271687,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876004440,132530,-0.9740105,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876054441,132530,-0.9764128,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876105023,132530,-0.97983456,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876154466,132530,-0.9830915,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876205279,132530,-0.98587584,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876254920,132530,-0.99029636,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876304509,132530,-0.99270946,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876354441,132530,-0.991806,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876404536,132530,-0.9842094,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876454442,132530,-0.9723157,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876504449,132530,-0.9600974,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876554867,132530,-0.9498815,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
2876604442,132530,-0.94043964,0.0,-1.5707964,1.5707964,-3.1415927,3.1415927,0
