timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2873983060,2873960224,6780705,46.42291,44.26,100768.64,1.1972982
2874069355,2874046721,6780705,46.666004,44.26,100765.74,1.1972637
2874156129,2874133326,6780705,46.50218,44.26,100767.68,1.1972867
2874329252,2874306572,6780705,46.414986,44.26,100768.734,1.1972992
2874589090,2874566332,6780705,46.462547,44.27,100768.164,1.1972924
2874762186,2874739558,6780705,46.811337,44.26,100764.0,1.197243
2874935361,2874912710,6780705,46.94345,44.26,100762.42,1.1972243
2875195127,2875172536,6780705,46.668648,44.26,100765.695,1.1972631
2875368328,2875345728,6780705,46.86682,44.26,100763.33,1.1972351
2875541529,2875518916,6780705,47.292236,44.26,100758.24,1.1971745
2875801348,2875778708,6780705,47.46663,44.27,100756.164,1.1971499
2875974524,2875951917,6780705,47.868263,44.26,100751.34,1.1970927
2876147930,2876125166,6780705,48.10607,44.26,100748.52,1.1970592
2876321051,2876298354,6780705,48.090218,44.28,100748.695,1.1970611
2876580729,2876558889,6780705,48.499775,44.26,100743.81,1.1970031
2876753947,2876731325,6780705,48.48392,44.27,100744.016,1.1970055
2876927199,2876904522,6780705,49.06523,44.27,100737.04,1.1969227
2877187137,2877164308,6780705,48.98332,44.27,100738.016,1.1969343
2877360131,2877337541,6780705,49.4378,44.28,100732.59,1.1968699
2877533328,2877510708,6780705,49.65447,44.27,100730.01,1.1968392
2877793176,2877770542,6780705,49.567272,44.27,100731.055,1.1968516
2877966455,2877943707,6780705,49.797157,44.27,100728.3,1.1968187
2878139654,2878116920,6780705,49.70996,44.27,100729.33,1.196831
2878399448,2878376742,6780705,49.377026,44.27,100733.33,1.1968787
2878572553,2878549932,6780705,49.24491,44.27,100734.92,1.1968975
2878745725,2878723107,6780705,49.34796,44.27,100733.664,1.1968826
2878918956,2878896327,6780705,49.3691,44.27,100733.42,1.1968796
2879178971,2879156109,6780705,49.466866,44.27,100732.25,1.1968657
2879351971,2879329328,6780705,49.39288,44.27,100733.15,1.1968764
2879525141,2879502539,6780705,49.717888,44.27,100729.234,1.1968299
2879784966,2879762340,6780705,49.44573,44.27,100732.5,1.1968688
2879958451,2879935543,6780705,49.511784,44.27,100731.73,1.1968596
2880131325,2880108945,6780705,49.411377,44.27,100732.91,1.1968735
2880391127,2880368527,6780705,49.59898,44.26,100730.69,1.1968472
2880564358,2880541724,6780705,49.411377,44.27,100732.91,1.1968735
2880739229,2880715701,6780705,49.65447,44.27,100730.01,1.1968392
2880997376,2880974709,6780705,49.625404,44.26,100730.34,1.1968431
2881170529,2881147909,6780705,49.44044,44.26,100732.56,1.1968695
2881343730,2881321107,6780705,49.353245,44.27,100733.61,1.1968819
2881603555,2881580945,6780705,49.353245,44.26,100733.61,1.1968819
2881776726,2881754108,6780705,49.5065,44.27,100731.77,1.1968601
2881949959,2881927307,6780705,49.268692,44.27,100734.62,1.1968939
2882123160,2882100540,6780705,49.16828,44.27,100735.83,1.1969082
2882383002,2882360319,6780705,49.126003,44.27,100736.31,1.196914
2882556127,2882533509,6780705,49.152428,44.28,100736.01,1.1969104
2882729358,2882706722,6780705,49.163,44.28,100735.9,1.1969091
2882989148,2882966523,6780705,49.078445,44.28,100736.9,1.196921
2883162359,2883139718,6780705,49.141857,44.28,100736.15,1.196912
2883335570,2883312910,6780705,49.141857,44.27,100736.15,1.196912
2883595375,2883572781,6780705,49.141857,44.27,100736.16,1.1969122
2883768589,2883745940,6780705,49.276615,44.26,100734.53,1.1968929
2883941781,2883919114,6780705,49.32418,44.27,100733.945,1.196886
2884201652,2884178946,6780705,49.059948,44.27,100737.12,1.1969236
2884374762,2884352168,6780705,49.226414,44.28,100735.11,1.1968998
2884547947,2884525308,6780705,49.12072,44.27,100736.4,1.196915
2884721189,2884698529,6780705,49.15507,44.28,100735.984,1.1969101
2884981102,2884958974,6780705,49.26605,44.28,100734.66,1.1968943
2885154126,2885131528,6780705,49.06523,44.28,100737.04,1.1969227
2885327448,2885304709,6780705,48.97804,44.28,100738.086,1.1969352
2885587233,2885564522,6780705,49.197346,44.28,100735.45,1.1969038
2885760394,2885737732,6780705,49.32946,44.28,100733.88,1.1968852
2885933527,2885910907,6780705,49.32946,44.28,100733.88,1.1968852
2886193325,2886170714,6780705,49.41666,44.27,100732.836,1.1968727
2886366533,2886343908,6780705,49.42723,44.27,100732.73,1.1968714
2886539739,2886517108,6780705,49.20792,44.27,100735.336,1.1969025
2886799751,2886776937,6780705,49.41666,44.27,100732.85,1.196873
2886972779,2886950130,6780705,49.36117,44.27,100733.52,1.1968809
2887145979,2887123308,6780705,49.453655,44.27,100732.41,1.1968676
2887319126,2887296520,6780705,49.345318,44.27,100733.7,1.196883
2887578992,2887556319,6780705,49.820934,44.26,100728.03,1.1968156
2887752260,2887729555,6780705,50.108948,44.26,100724.57,1.1967745
2887925355,2887902721,6780705,50.04289,44.26,100725.375,1.1967841
2888185299,2888162613,6780705,49.8685,44.26,100727.44,1.1968086
2888358387,2888335708,6780705,50.1248,44.25,100724.4,1.1967725
2888531530,2888509240,6780705,49.937195,44.25,100726.61,1.1967988
